Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
From Inference to Generation: End-to-end Fully Self-supervised Generation of Human Face from Speech,"

Hyeong-Seok Choi
, 
Changdae Park
, 
Kyogu Lee

","Multi-modal learning
Self-supervised learning
Voice profiling
Conditional GANs",This paper proposes a method of end-to-end multi-modal generation of human face from speech based on a self-supervised learning framework.
Learning from Unlabelled Videos Using Contrastive Predictive Neural 3D Mapping,"

Adam W. Harley
, 
Shrinidhi K. Lakshmikanth
, 
Fangyu Li
, 
Xian Zhou
, 
Hsiao-Yu Fish Tung
, 
Katerina Fragkiadaki

","3D feature learning
unsupervised learning
inverse graphics
object discovery","We show that with the right loss and architecture, view-predictive learning improves 3D object detection"
Decoupling Representation and Classifier for Long-Tailed Recognition,"

Bingyi Kang
, 
Saining Xie
, 
Marcus Rohrbach
, 
Zhicheng Yan
, 
Albert Gordo
, 
Jiashi Feng
, 
Yannis Kalantidis

","long-tailed recognition
classification",
Robust Reinforcement Learning for Continuous Control with Model Misspecification,"

Daniel J. Mankowitz
, 
Nir Levine
, 
Rae Jeong
, 
Abbas Abdolmaleki
, 
Jost Tobias Springenberg
, 
Yuanyuan Shi
, 
Jackie Kay
, 
Todd Hester
, 
Timothy Mann
, 
Martin Riedmiller

","reinforcement learning
robustness",A framework for incorporating robustness to model misspecification into continuous control Reinforcement Learning algorithms.
Cross-lingual Alignment vs Joint Training: A Comparative Study and A Simple Unified Framework,"

Zirui Wang*
, 
Jiateng Xie*
, 
Ruochen Xu
, 
Yiming Yang
, 
Graham Neubig
, 
Jaime G. Carbonell

",Cross-lingual Representation,We conduct a comparative study of cross-lingual alignment vs joint training methods and unify these two previously exclusive paradigms in a new framework. 
Training Recurrent Neural Networks Online by Learning Explicit State Variables,"

Somjit Nath
, 
Vincent Liu
, 
Alan Chan
, 
Xin Li
, 
Adam White
, 
Martha White

","Recurrent Neural Network
Partial Observability
Online Prediction
Incremental Learning",
Uncertainty-guided Continual Learning with Bayesian Neural Networks,"

Sayna Ebrahimi
, 
Mohamed Elhoseiny
, 
Trevor Darrell
, 
Marcus Rohrbach

","continual learning
catastrophic forgetting",A regularization-based approach for continual learning using Bayesian neural networks to predict parameters' importance
Curriculum Loss: Robust Learning and Generalization against Label Corruption,"

Yueming Lyu
, 
Ivor W. Tsang

","Curriculum Learning
deep learning",A novel loss bridges curriculum learning and robust learning
Picking Winning Tickets Before Training by Preserving Gradient Flow,"

Chaoqi Wang
, 
Guodong Zhang
, 
Roger Grosse

","neural network
pruning before training
weight pruning",We introduced a pruning criterion for pruning networks before training by preserving gradient flow.
"Generative Models for Effective ML on Private, Decentralized Datasets","

Sean Augenstein
, 
H. Brendan McMahan
, 
Daniel Ramage
, 
Swaroop Ramaswamy
, 
Peter Kairouz
, 
Mingqing Chen
, 
Rajiv Mathews
, 
Blaise Aguera y Arcas

","generative models
federated learning
decentralized learning
differential privacy
privacy
security
GAN","Generative Models + Federated Learning + Differential Privacy gives data scientists a way to analyze private, decentralized data (e.g., on mobile devices) where direct inspection is prohibited."
Inductive representation learning on temporal graphs,"

da Xu
, 
chuanwei ruan
, 
evren korpeoglu
, 
sushant kumar
, 
kannan achan

","temporal graph
inductive representation learning
functional time encoding
self-attention",
BatchEnsemble: an Alternative Approach to Efficient Ensemble and Lifelong Learning,"

Yeming Wen
, 
Dustin Tran
, 
Jimmy Ba

","deep learning
ensembles","We introduced BatchEnsemble, an efficient method for ensembling and lifelong learning which can be used to improve the accuracy and uncertainty of any neural network like typical ensemble methods."
Towards neural networks that provably know when they don't know,"

Alexander Meinke
, 
Matthias Hein

",,
Iterative energy-based projection on a normal data manifold for anomaly localization,"

David Dehaene
, 
Oriel Frigo
, 
Sébastien Combrexelle
, 
Pierre Eline

","deep learning
visual inspection
unsupervised anomaly detection
anomaly localization
autoencoder
variational autoencoder
gradient descent
inpainting",We use gradient descent on a regularized autoencoder loss to correct anomalous images.
Towards Stable and Efficient Training of Verifiably Robust Neural Networks,"

Huan Zhang
, 
Hongge Chen
, 
Chaowei Xiao
, 
Sven Gowal
, 
Robert Stanforth
, 
Bo Li
, 
Duane Boning
, 
Cho-Jui Hsieh

","Robust Neural Networks
Verifiable Training
Certified Adversarial Defense","We propose a new certified adversarial training method, CROWN-IBP, that achieves state-of-the-art robustness for L_inf norm adversarial perturbations."
Frequency-based Search-control in Dyna,"

Yangchen Pan
, 
Jincheng Mei
, 
Amir-massoud Farahmand

","Model-based reinforcement learning
search-control
Dyna
frequency of a signal",Acquire states from high frequency region for search-control in Dyna.
Learning representations for binary-classification without backpropagation,"

Mathias Lechner

","feedback alignment
alternatives to backpropagation
biologically motivated learning algorithms",First feedback alignment algorithm with provable learning guarantees for networks with single output neuron
Polylogarithmic width suffices for gradient descent to achieve arbitrarily small test error with shallow ReLU networks,"

Ziwei Ji
, 
Matus Telgarsky

","neural tangent kernel
polylogarithmic width
test error
gradient descent
classification",
Physics-aware Difference Graph Networks for Sparsely-Observed Dynamics,"

Sungyong Seo*
, 
Chuizheng Meng*
, 
Yan Liu

","physics-aware learning
spatial difference operators
sparsely-observed dynamics",We propose physics-aware difference graph networks designed to effectively learn spatial differences to modeling sparsely-observed dynamics.
HiLLoC: lossless image compression with hierarchical latent variable models,"

James Townsend
, 
Thomas Bird
, 
Julius Kunze
, 
David Barber

","compression
variational inference
lossless compression
deep latent variable models","We scale up lossless compression with latent variables, achieving state of the art on full-size ImageNet images."
IMPACT: Importance Weighted Asynchronous Architectures with Clipped Target Networks,"

Michael Luo
, 
Jiahao Yao
, 
Richard Liaw
, 
Eric Liang
, 
Ion Stoica

","Reinforcement Learning
Artificial Intelligence
Distributed Computing
Neural Networks",IMPACT helps RL agents train faster by decreasing training wall-clock time and increasing sample efficiency simultaneously.
On Bonus Based Exploration Methods In The Arcade Learning Environment,"

Adrien Ali Taiga
, 
William Fedus
, 
Marlos C. Machado
, 
Aaron Courville
, 
Marc G. Bellemare

","exploration
arcade learning environment
bonus-based methods",We find that existing bonus-based exploration methods have not been able to address the exploration-exploitation trade-off in the Arcade Learning Environment. 
Adaptive Correlated Monte Carlo for Contextual Categorical Sequence Generation,"

Xinjie Fan
, 
Yizhe Zhang
, 
Zhendong Wang
, 
Mingyuan Zhou

","binary softmax
discrete variables
policy gradient
pseudo actions
reinforcement learning
variance reduction",
Smoothness and Stability in GANs,"

Casey Chu
, 
Kentaro Minami
, 
Kenji Fukumizu

","generative adversarial networks
stability
smoothness
convex conjugate",We develop a principled theoretical framework for understanding and enforcing the stability of various types of GANs
SNOW: Subscribing to Knowledge via Channel Pooling for Transfer & Lifelong Learning of Convolutional Neural Networks,"

Chungkuk Yoo
, 
Bumsoo Kang
, 
Minsik Cho

","channel pooling
efficient training and inferencing
lifelong learning
transfer learning
multi task","We propose SNOW, an efficient way of transfer and lifelong learning by subscribing knowledge of a source model for new tasks through a novel channel pooling block."
Empirical Studies on the Properties of Linear Regions in Deep Neural Networks,"

Xiao Zhang
, 
Dongrui Wu

","deep learning
linear region
optimization",
Black-box Off-policy Estimation for Infinite-Horizon Reinforcement Learning,"

Ali Mousavi
, 
Lihong Li
, 
Qiang Liu
, 
Denny Zhou

","reinforcement learning
off-policy estimation
importance sampling
propensity score",We present a novel approach for the off-policy estimation problem in infinite-horizon RL.
PairNorm: Tackling Oversmoothing in GNNs,"

Lingxiao Zhao
, 
Leman Akoglu

","Graph Neural Network
oversmoothing
normalization",We proposed a normalization layer for GNN models to solve the oversmoothing problem.
Unsupervised Clustering using Pseudo-semi-supervised Learning,"

Divam Gupta
, 
Ramachandran Ramjee
, 
Nipun Kwatra
, 
Muthian Sivathanu

","Unsupervised Learning
Unsupervised Clustering
Deep Learning",Using ensembles and pseudo labels for unsupervised clustering 
Simple and Effective Regularization Methods for Training on Noisily Labeled Data with Generalization Guarantee,"

Wei Hu
, 
Zhiyuan Li
, 
Dingli Yu

","deep learning theory
regularization
noisy labels",
Controlling generative models with continuous factors of variations,"

Antoine Plumerault
, 
Hervé Le Borgne
, 
Céline Hudelot

","Generative models
factor of variation
GAN
beta-VAE
interpretable representation
interpretability",A model to control the generation of images with GAN and beta-VAE with regard to scale and position of the objects
Symplectic ODE-Net: Learning Hamiltonian Dynamics with Control,"

Yaofeng Desmond Zhong
, 
Biswadip Dey
, 
Amit Chakraborty

","Deep Model Learning
Physics-based Priors
Control of Mechanical Systems","This work enforces Hamiltonian dynamics with control to learn system models from embedded position and velocity data, and exploits this physically-consistent dynamics to synthesize model-based control via energy shaping."
"Understanding l4-based Dictionary Learning: Interpretation, Stability, and Robustness","

Yuexiang Zhai
, 
Hermish Mehta
, 
Zhengyuan Zhou
, 
Yi Ma

","L4-norm Maximization
Robust Dictionary Learning","We compare the l4-norm based dictionary learning with PCA, ICA and show its stability as well as robustness."
Quantum Algorithms for Deep Convolutional Neural Networks,"

Iordanis Kerenidis
, 
Jonas Landman
, 
Anupam Prakash

","quantum computing
quantum machine learning
convolutional neural network
theory
algorithm",We provide the first algorithm for quantum computers implementing universal convolutional neural network with a speedup
Self-Supervised Learning of Appliance Usage,"

Chen-Yu Hsu
, 
Abbas Zeitoun
, 
Guang-He Lee
, 
Dina Katabi
, 
Tommi Jaakkola

","Appliance usage
self-supervised learning
multi-modal learning
unsupervised learning","We learn appliance usage patterns in homes without labels, using self-supervised learning with energy and location data"
Deep Graph Matching Consensus,"

Matthias Fey
, 
Jan E. Lenssen
, 
Christopher Morris
, 
Jonathan Masci
, 
Nils M. Kriege

","graph matching
graph neural networks
neighborhood consensus
deep learning",We develop a deep graph matching architecture which refines initial correspondences in order to reach neighborhood consensus.
Beyond Linearization: On Quadratic and Higher-Order Approximation of Wide Neural Networks,"

Yu Bai
, 
Jason D. Lee

","Neural Tangent Kernels
over-parametrized neural networks
deep learning theory","Wide neural networks can escape the NTK regime and couple with quadratic models, with provably nice optimization landscape and better generalization."
Dynamic Sparse Training: Find Efficient Sparse Network From Scratch With Trainable Masked Layers,"

Junjie LIU
, 
Zhe XU
, 
Runbin SHI
, 
Ray C. C. Cheung
, 
Hayden K.H. So

","neural network pruning
sparse learning
network compression
architecture search",We present a novel network pruning method that can find the optimal sparse structure during the training process with trainable pruning threshold
"Triple Wins: Boosting Accuracy, Robustness and Efficiency Together by Enabling Input-Adaptive Inference","

Ting-Kuei Hu
, 
Tianlong Chen
, 
Haotao Wang
, 
Zhangyang Wang

","adversarial robustness
efficient inference","Is it possible to co-design model accuracy, robustness and efficiency to achieve their triple wins? Yes!"
Neural Policy Gradient Methods: Global Optimality and Rates of Convergence,"

Lingxiao Wang
, 
Qi Cai
, 
Zhuoran Yang
, 
Zhaoran Wang

",,
Double Neural Counterfactual Regret Minimization,"

Hui Li
, 
Kailiang Hu
, 
Shaohua Zhang
, 
Yuan Qi
, 
Le Song

","Counterfactual Regret Minimization
Imperfect Information game
Neural Strategy
Deep Learning
Robust Sampling",We proposed a double neural framework to solve large-scale imperfect information game. 
GraphAF: a Flow-based Autoregressive Model for Molecular Graph Generation,"

Chence Shi*
, 
Minkai Xu*
, 
Zhaocheng Zhu
, 
Weinan Zhang
, 
Ming Zhang
, 
Jian Tang

","Molecular graph generation
deep generative models
normalizing flows
autoregressive models",A flow-based autoregressive model for molecular graph generation. Reaching state-of-the-art results on molecule generation and properties optimization.
The Gambler's Problem and Beyond,"

Baoxiang Wang
, 
Shuai Li
, 
Jiajin Li
, 
Siu On Chan

","the gambler's problem
reinforcement learning
fractal
self-similarity
Bellman equation",This simple problem's optimal value function is fractal and is like a Cantor function.
Multilingual Alignment of Contextual Word Representations,"

Steven Cao
, 
Nikita Kitaev
, 
Dan Klein

","multilingual
natural language processing
embedding alignment
BERT
word embeddings
transfer",We propose procedures for evaluating and strengthening contextual embedding alignment and show that they both improve multilingual BERT's zero-shot XNLI transfer and provide useful insights into the model.
The Curious Case of Neural Text Degeneration,"

Ari Holtzman
, 
Jan Buys
, 
Li Du
, 
Maxwell Forbes
, 
Yejin Choi

","generation
text
NLG
NLP
natural language
natural language generation
language model
neural
neural language model",Current language generation systems either aim for high likelihood and devolve into generic repetition or miscalibrate their stochasticity—we provide evidence of both and propose a solution: Nucleus Sampling.
Graph Convolutional Reinforcement Learning,"

Jiechuan Jiang
, 
Chen Dun
, 
Tiejun Huang
, 
Zongqing Lu

",,
Meta-Learning Deep Energy-Based Memory Models,"

Sergey Bartunov
, 
Jack Rae
, 
Simon Osindero
, 
Timothy Lillicrap

","associative memory
energy-based memory
meta-learning
compressive memory",Deep associative memory models using arbitrary neural networks as a storage.
Exploratory Not Explanatory: Counterfactual Analysis of Saliency Maps for Deep Reinforcement Learning,"

Akanksha Atrey
, 
Kaleigh Clary
, 
David Jensen

","explainability
saliency maps
representations
deep reinforcement learning",Proposing a new counterfactual-based methodology to evaluate the hypotheses generated from saliency maps about deep RL agent behavior. 
Fast Neural Network Adaptation via Parameter Remapping and Architecture Search,"

Jiemin Fang*
, 
Yuzhu Sun*
, 
Kangjian Peng*
, 
Qian Zhang
, 
Yuan Li
, 
Wenyu Liu
, 
Xinggang Wang

",,
Guiding Program Synthesis by Learning to Generate Examples,"

Larissa Laich
, 
Pavol Bielik
, 
Martin Vechev

","program synthesis
programming by examples",
SNODE: Spectral Discretization of Neural ODEs for System Identification,"

Alessio Quaglino
, 
Marco Gallieri
, 
Jonathan Masci
, 
Jan Koutník

","Recurrent neural networks
system identification
neural ODEs",This paper proposes the use of spectral element methods for fast and accurate training of Neural Ordinary Differential Equations for system identification.
Generalized Convolutional Forest Networks for Domain Generalization and Visual Recognition,"

Jongbin Ryu
, 
Gitaek Kwon
, 
Ming-Hsuan Yang
, 
Jongwoo Lim

",,
Once-for-All: Train One Network and Specialize it for Efficient Deployment,"

Han Cai
, 
Chuang Gan
, 
Tianzhe Wang
, 
Zhekai Zhang
, 
Song Han

","Efficient Deep Learning
Specialized Neural Network Architecture
AutoML",We introduce techniques to train a single once-for-all network that fits many hardware platforms.
Multi-Agent Interactions Modeling with Correlated Policies,"

Minghuan Liu
, 
Ming Zhou
, 
Weinan Zhang
, 
Yuzheng Zhuang
, 
Jun Wang
, 
Wulong Liu
, 
Yong Yu

","Multi-agent reinforcement learning
Imitation learning",Modeling complex multi-agent interactions under multi-agent imitation learning framework with explicit modeling of correlated policies by approximating opponents’ policies. 
PCMC-Net: Feature-based Pairwise Choice Markov Chains,"

Alix Lhéritier

","choice modeling
pairwise choice Markov chains
deep learning
amortized inference
automatic differentiation
airline itinerary choice modeling",We propose a generic neural network architecture equipping Pairwise Choice Markov Chains choice models with amortized and automatic differentiation based inference using alternatives' and individuals' features.
Implementing Inductive bias for different navigation tasks through diverse RNN attrractors,"

Tie XU
, 
Omri Barak

","navigation
Recurrent Neural Networks
dynamics
inductive bias
pre-training
reinforcement learning","Task agnostic pre-training can shape RNN's attractor landscape, and form diverse inductive bias for different navigation tasks   "
Query2box: Reasoning over Knowledge Graphs in Vector Space Using Box Embeddings,"

Hongyu Ren*
, 
Weihua Hu*
, 
Jure Leskovec

","knowledge graph embeddings
logical reasoning
query answering",Answering a wide class of logical queries over knowledge graphs with box embeddings in vector space
Rethinking the Hyperparameters for Fine-tuning,"

Hao Li
, 
Pratik Chaudhari
, 
Hao Yang
, 
Michael Lam
, 
Avinash Ravichandran
, 
Rahul Bhotika
, 
Stefano Soatto

","fine-tuning
hyperparameter search
transfer learning",This paper re-examines several common practices of setting hyper-parameters for fine-tuning and identify optimal hyperparameter depends on source-target domain similarity.
Plug and Play Language Models: A Simple Approach to Controlled Text Generation,"

Sumanth Dathathri
, 
Andrea Madotto
, 
Janice Lan
, 
Jane Hung
, 
Eric Frank
, 
Piero Molino
, 
Jason Yosinski
, 
Rosanne Liu

","controlled text generation
generative models
conditional generative models
language modeling
transformer",We control the topic and sentiment of text generation (almost) without any training. 
Provable Benefit of Orthogonal Initialization in Optimizing Deep Linear Networks,"

Wei Hu
, 
Lechao Xiao
, 
Jeffrey Pennington

","deep learning theory
non-convex optimization
orthogonal initialization","We provide for the first time a rigorous proof that orthogonal initialization speeds up convergence relative to Gaussian initialization, for deep linear networks."
RGBD-GAN: Unsupervised 3D Representation Learning From Natural Image Datasets via RGBD Image Synthesis,"

Atsuhiro Noguchi
, 
Tatsuya Harada

","image generation
3D vision
unsupervised representation learning",RGBD image generation for unsupervised camera parameter conditioning
Towards Verified Robustness under Text Deletion Interventions,"

Johannes Welbl
, 
Po-Sen Huang
, 
Robert Stanforth
, 
Sven Gowal
, 
Krishnamurthy (Dj) Dvijotham
, 
Martin Szummer
, 
Pushmeet Kohli

","natural language processing
specification
verification
model undersensitivity
adversarial
interval bound propagation",Formal verification of a specification on a model's prediction undersensitivity using Interval Bound Propagation
Jacobian Adversarially Regularized Networks for Robustness,"

Alvin Chan
, 
Yi Tay
, 
Yew Soon Ong
, 
Jie Fu

","adversarial examples
robust machine learning
deep learning",We show that training classifiers to produce salient input Jacobian matrices with a GAN-like regularization can boost adversarial robustness.
Thinking While Moving: Deep Reinforcement Learning with Concurrent Control,"

Ted Xiao
, 
Eric Jang
, 
Dmitry Kalashnikov
, 
Sergey Levine
, 
Julian Ibarz
, 
Karol Hausman
, 
Alexander Herzog

","deep reinforcement learning
continuous-time
robotics","Reinforcement learning formulation that allows agents to think and act at the same time, demonstrated on real-world robotic grasping."
Evolutionary Population Curriculum for Scaling Multi-Agent Reinforcement Learning,"

Qian Long*
, 
Zihan Zhou*
, 
Abhinav Gupta
, 
Fei Fang
, 
Yi Wu†
, 
Xiaolong Wang†

","multi-agent reinforcement learning
evolutionary learning
curriculum learning",
ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,"

Kevin Clark
, 
Minh-Thang Luong
, 
Quoc V. Le
, 
Christopher D. Manning

","Natural Language Processing
Representation Learning",A text encoder trained to distinguish real input tokens from plausible fakes efficiently learns effective language representations.
Environmental drivers of systematicity and generalization in a situated agent,"

Felix Hill
, 
Andrew Lampinen
, 
Rosalia Schneider
, 
Stephen Clark
, 
Matthew Botvinick
, 
James L. McClelland
, 
Adam Santoro

","systematicitiy
systematic
generalization
combinatorial
agent
policy
language
compositionality",We isolate the environmental and training factors that contribute to emergent systematic generalization in a situated language-learning agent
Abstract Diagrammatic Reasoning with Multiplex Graph Networks,"

Duo Wang
, 
Mateja Jamnik
, 
Pietro Lio

","reasoning
Raven Progressive Matrices
graph neural networks
multiplex graphs","MXGNet is a multilayer, multiplex graph based architecture which achieves good performance on various diagrammatic reasoning tasks."
A Baseline for Few-Shot Image Classification,"

Guneet Singh Dhillon
, 
Pratik Chaudhari
, 
Avinash Ravichandran
, 
Stefano Soatto

","few-shot learning
transductive learning
fine-tuning
baseline
meta-learning",Transductive fine-tuning of a deep network is a strong baseline for few-shot image classification and outperforms the state-of-the-art on all standard benchmarks.
Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering,"

Akari Asai
, 
Kazuma Hashimoto
, 
Hannaneh Hajishirzi
, 
Richard Socher
, 
Caiming Xiong

","Multi-hop Open-domain Question Answering
Graph-based Retrieval
Multi-step Retrieval",Graph-based recurrent retriever that learns to retrieve reasoning paths over Wikipedia Graph outperforms the most recent state of the art on HotpotQA by more than 14 points.
Padé Activation Units: End-to-end Learning of Flexible Activation Functions in Deep Networks,"

Alejandro Molina
, 
Patrick Schramowski
, 
Kristian Kersting

",,"We introduce PAU, a new learnable activation function for neural networks. They free the network designers from the activation selection process and increase the test prediction accuracy."
A FRAMEWORK FOR ROBUSTNESS CERTIFICATION OF SMOOTHED CLASSIFIERS USING F-DIVERGENCES,"

Krishnamurthy (Dj) Dvijotham
, 
Jamie Hayes
, 
Borja Balle
, 
Zico Kolter
, 
Chongli Qin
, 
Andras Gyorgy
, 
Kai Xiao
, 
Sven Gowal
, 
Pushmeet Kohli

","verification of machine learning
certified robustness of neural networks",Develop a general framework to establish certified robustness of ML models against various classes of adversarial perturbations
Contrastive Representation Distillation,"

Yonglong Tian
, 
Dilip Krishnan
, 
Phillip Isola

","Knowledge Distillation
Representation Learning
Contrastive Learning
Mutual Information",Representation/knowledge distillation by maximizing mutual information between teacher and student
Certified Defenses for Adversarial Patches,"

Ping-yeh Chiang*
, 
Renkun Ni*
, 
Ahmed Abdelkader
, 
Chen Zhu
, 
Christoph Studor
, 
Tom Goldstein

","certified defenses
patch attack
adversarial robustness
sparse defense",
Sample Efficient Policy Gradient Methods with Recursive Variance Reduction,"

Pan Xu
, 
Felicia Gao
, 
Quanquan Gu

","Policy Gradient
Reinforcement Learning
Sample Efficiency",
Deep Symbolic Superoptimization Without Human Knowledge,"

Hui Shi
, 
Yang Zhang
, 
Xinyun Chen
, 
Yuandong Tian
, 
Jishen Zhao

",,
Explain Your Move: Understanding Agent Actions Using Specific and Relevant Feature Attribution,"

Nikaash Puri
, 
Sukriti Verma
, 
Piyush Gupta
, 
Dhruv Kayastha
, 
Shripad Deshmukh
, 
Balaji Krishnamurthy
, 
Sameer Singh

","Deep Reinforcement Learning
Saliency maps
Chess
Go
Atari
Interpretable AI
Explainable AI","We propose a model-agnostic approach to explain the behaviour of black-box deep RL agents, trained to play Atari and board games, by highlighting relevant portions of the input state."
Universal Approximation with Certified Networks,"

Maximilian Baader
, 
Matthew Mirman
, 
Martin Vechev

","adversarial robustness
universal approximation
certified network
interval bound propagation",We prove that for a large class of functions f there exists an interval certified robust network approximating f up to arbitrary precision.
Measuring and Improving the Use of Graph Information in Graph Neural Networks,"

Yifan Hou
, 
Jian Zhang
, 
James Cheng
, 
Kaili Ma
, 
Richard T. B. Ma
, 
Hongzhi Chen
, 
Ming-Chang Yang

",,
State-only Imitation with Transition Dynamics Mismatch,"

Tanmay Gangwani
, 
Jian Peng

","Imitation learning
Reinforcement Learning
Inverse Reinforcement Learning",Algorithm for imitation with state-only expert demonstrations; builds on adversarial-IRL; experiments with transition dynamics mismatch b/w expert and imitator
Adversarial AutoAugment,"

Xinyu Zhang
, 
Qiang Wang
, 
Jian Zhang
, 
Zhao Zhong

","Automatic Data Augmentation
Adversarial Learning
Reinforcement Learning",We introduce the idea of adversarial learning into automatic data augmentation to improve the generalization  of a targe network.
Meta Dropout: Learning to Perturb Latent Features for Generalization,"

Hae Beom Lee
, 
Taewook Nam
, 
Eunho Yang
, 
Sung Ju Hwang

",,
Rényi Fair Inference,"

Sina Baharlouei
, 
Maher Nouiehed
, 
Ahmad Beirami
, 
Meisam Razaviyayn

",,
Learning transport cost from subset correspondence,"

Ruishan Liu
, 
Akshay Balsubramani
, 
James Zou

",,
BlockSwap: Fisher-guided Block Substitution for Network Compression on a Budget,"

Jack Turner
, 
Elliot J. Crowley
, 
Michael O'Boyle
, 
Amos Storkey
, 
Gavin Gray

","model compression
architecture search
efficiency
budget
convolutional neural networks",A simple and effective method for reducing large neural networks to flexible parameter targets based on block substitution.
Variance Reduction With Sparse Gradients,"

Melih Elibol
, 
Lihua Lei
, 
Michael I. Jordan

","optimization
variance reduction
machine learning
deep neural networks",We use sparsity to improve the computational complexity of variance reduction methods.
Abductive Commonsense Reasoning,"

Chandra Bhagavatula
, 
Ronan Le Bras
, 
Chaitanya Malaviya
, 
Keisuke Sakaguchi
, 
Ari Holtzman
, 
Hannah Rashkin
, 
Doug Downey
, 
Wen-tau Yih
, 
Yejin Choi

","Abductive Reasoning
Commonsense Reasoning
Natural Language Inference
Natural Language Generation",
Discrepancy Ratio: Evaluating Model Performance When Even Experts Disagree on the Truth,"

Igor Lovchinsky
, 
Alon Daks
, 
Israel Malkin
, 
Pouya Samangouei
, 
Ardavan Saeedi
, 
Yang Liu
, 
Swami Sankaranarayanan
, 
Tomer Gafner
, 
Ben Sternlieb
, 
Patrick Maher
, 
Nathan Silberman

","Evaluation Metrics
Medical Imaging",A framework for evaluating model performance when even experts disagree on what the ground truth is.
Weakly Supervised Disentanglement with Guarantees,"

Rui Shu
, 
Yining Chen
, 
Abhishek Kumar
, 
Stefano Ermon
, 
Ben Poole

","disentanglement
theory of disentanglement
representation learning
generative models",We construct a theoretical framework for weakly supervised disentanglement and conducted lots of experiments to back up the theory.
Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,"

Jiadong Lin
, 
Chuanbiao Song
, 
Kun He
, 
Liwei Wang
, 
John E. Hopcroft

","adversarial examples
adversarial attack
transferability
Nesterov accelerated gradient
scale invariance",We proposed a Nesterov Iterative Fast Gradient Sign Method (NI-FGSM) and a Scale-Invariant attack Method (SIM) that can boost the transferability of adversarial examples for image classification.
Fantastic Generalization Measures and Where to Find Them,"

Yiding Jiang*
, 
Behnam Neyshabur*
, 
Hossein Mobahi
, 
Dilip Krishnan
, 
Samy Bengio

","Generalization
correlation
experiments","We empirically study generalization measures over more than 2000 models, identify common pitfall in existing practice of studying generalization measures and provide some new bounds based on measures in our study."
Robustness Verification for Transformers,"

Zhouxing Shi
, 
Huan Zhang
, 
Kai-Wei Chang
, 
Minlie Huang
, 
Cho-Jui Hsieh

","Robustness
Verification
Transformers",We propose the first algorithm for verifying the robustness of Transformers.
Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,"

Kimin Lee
, 
Kibok Lee
, 
Jinwoo Shin
, 
Honglak Lee

","Deep reinforcement learning
Generalization in visual domains",We propose a simple randomization technique for improving generalization in deep reinforcement learning across tasks with various unseen visual patterns.
Tensor Decompositions for Temporal Knowledge Base Completion,"

Timothée Lacroix
, 
Guillaume Obozinski
, 
Nicolas Usunier

","knowledge base completion
temporal embeddings",We propose new tensor decompositions and associated regularizers to obtain state of the art performances on temporal knowledge base completion.
On Universal Equivariant Set Networks,"

Nimrod Segol
, 
Yaron Lipman

","deep learning
universality
set functions
equivariance",Settling permutation equivariance universality for popular deep models. 
Provable robustness against all adversarial lp-perturbations for p≥1,"

Francesco Croce
, 
Matthias Hein

","adversarial robustness
provable guarantees",
"Don't Use Large Mini-batches, Use Local SGD","

Tao Lin
, 
Sebastian U. Stich
, 
Kumar Kshitij Patel
, 
Martin Jaggi

",,
Kernel of CycleGAN as a principal homogeneous space,"

Nikita Moriakov
, 
Jonas Adler
, 
Jonas Teuwen

","Generative models
CycleGAN","The space of approximate solutions of CycleGAN admits a lot of symmetry, and an identity loss does not fix this."
Distributionally Robust Neural Networks,"

Shiori Sagawa*
, 
Pang Wei Koh*
, 
Tatsunori B. Hashimoto
, 
Percy Liang

","distributionally robust optimization
deep learning
robustness
generalization
regularization","Overparameterized neural networks can be distributionally robust, but only when you account for generalization. "
On Solving Minimax Optimization Locally: A Follow-the-Ridge Approach,"

Yuanhao Wang*
, 
Guodong Zhang*
, 
Jimmy Ba

","minimax optimization
smooth differentiable games
local convergence
generative adversarial networks
optimization",
A Neural Dirichlet Process Mixture Model for Task-Free Continual Learning,"

Soochan Lee
, 
Junsoo Ha
, 
Dongsu Zhang
, 
Gunhee Kim

","continual learning
task-free
task-agnostic",We propose an expansion-based approach for task-free continual learning for the first time. Our model consists of a set of neural network experts and expands the number of experts under the Bayesian nonparametric principle.
Hyper-SAGNN: a self-attention based graph neural network for hypergraphs,"

Ruochi Zhang
, 
Yuesong Zou
, 
Jian Ma

","graph neural network
hypergraph
representation learning",We develop a new self-attention based graph neural network called Hyper-SAGNN applicable to homogeneous and heterogeneous hypergraphs with variable hyperedge sizes that can fulfill tasks like node classification and hyperedge prediction. 
